Episode,Winner,RunnerJitter,PursuerJitter,NearMissTime
670,Pursuer,0.154,0.152,0.00
671,Pursuer,0.140,0.143,0.00
672,Runner,0.145,0.140,0.00
673,Pursuer,0.145,0.153,0.00
674,Draw,0.159,0.161,0.00
675,Pursuer,0.143,0.151,0.00
676,Pursuer,0.129,0.177,0.00
677,Pursuer,0.129,0.151,0.00
678,Pursuer,0.148,0.129,0.00
679,Draw,0.147,0.148,14.54
680,Pursuer,0.166,0.127,0.00
681,Runner,0.043,0.148,0.10
682,Pursuer,0.150,0.152,0.00
683,Runner,0.140,0.144,7.00
684,Pursuer,0.146,0.159,0.00
685,Pursuer,0.092,0.063,0.00
686,Pursuer,0.154,0.157,0.00
687,Pursuer,0.145,0.146,0.00
688,Runner,0.136,0.144,5.80
689,Draw,0.142,0.152,14.30
690,Runner,0.000,0.000,0.00
691,Pursuer,0.148,0.149,0.00
692,Pursuer,0.151,0.150,0.00
693,Pursuer,0.172,0.143,0.00
694,Draw,0.142,0.135,0.00
695,Draw,0.149,0.151,0.00
696,Runner,0.114,0.136,0.00
697,Pursuer,0.142,0.115,0.00
698,Pursuer,0.147,0.163,0.00
699,Runner,0.154,0.147,0.00
700,Draw,0.143,0.151,19.98
701,Draw,0.145,0.143,4.62
702,Draw,0.154,0.158,11.36
703,Runner,0.000,0.000,0.00
704,Draw,0.144,0.147,14.68
705,Draw,0.141,0.141,10.00
706,Pursuer,0.151,0.155,0.00
707,Draw,0.149,0.142,19.56
708,Draw,0.136,0.155,2.28
709,Draw,0.157,0.152,19.98
710,Pursuer,0.163,0.152,0.00
711,Draw,0.151,0.150,16.52
712,Pursuer,0.000,0.000,0.00
713,Pursuer,0.145,0.124,0.00
714,Pursuer,0.114,0.162,0.00
715,Pursuer,0.148,0.147,0.00
716,Runner,0.000,0.000,0.00
717,Pursuer,0.139,0.143,0.00
718,Pursuer,0.163,0.158,0.00
719,Pursuer,0.139,0.154,0.00
720,Pursuer,0.234,0.124,0.00
721,Pursuer,0.144,0.147,0.00
722,Draw,0.147,0.150,12.52
723,Draw,0.146,0.136,0.00
724,Pursuer,0.041,0.050,0.00
725,Draw,0.140,0.141,17.04
726,Draw,0.147,0.147,19.64
727,Pursuer,0.147,0.163,0.00
728,Pursuer,0.143,0.143,0.00
729,Pursuer,0.163,0.109,0.00
730,Runner,0.166,0.143,0.00
731,Pursuer,0.297,0.350,0.00
732,Pursuer,0.153,0.181,0.00
733,Draw,0.154,0.143,16.80
734,Runner,0.142,0.138,0.00
735,Runner,0.133,0.144,3.38
736,Pursuer,0.136,0.158,0.00
737,Pursuer,0.172,0.153,0.00
738,Draw,0.147,0.147,6.76
