Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeSteps
303,Draw,0.099,0.182,0.719,0.145,0.151,2.60,999.00
304,Draw,0.099,0.181,0.720,0.147,0.155,0.00,999.00
305,Pursuer,0.098,0.184,0.718,0.136,0.145,0.00,795.00
306,Draw,0.098,0.183,0.719,0.143,0.155,0.00,999.00
307,Runner,0.101,0.182,0.717,0.145,0.153,12.80,640.00
308,Draw,0.101,0.182,0.718,0.150,0.155,0.00,999.00
309,Runner,0.104,0.181,0.715,0.125,0.157,1.74,623.00
310,Draw,0.103,0.181,0.716,0.148,0.166,5.94,999.00
311,Runner,0.106,0.180,0.714,0.000,0.000,0.00,0.00
312,Draw,0.106,0.179,0.715,0.160,0.150,8.50,999.00
313,Draw,0.105,0.179,0.716,0.164,0.157,2.26,999.00
314,Draw,0.105,0.178,0.717,0.129,0.159,2.10,999.00
315,Draw,0.105,0.178,0.717,0.139,0.157,4.64,999.00
316,Draw,0.104,0.177,0.718,0.146,0.151,0.00,999.00
317,Runner,0.107,0.177,0.716,0.156,0.144,8.42,421.00
318,Draw,0.107,0.176,0.717,0.139,0.148,8.98,999.00
319,Draw,0.107,0.176,0.718,0.153,0.164,7.60,999.00
320,Pursuer,0.106,0.178,0.716,0.163,0.152,0.00,815.00
321,Draw,0.106,0.178,0.717,0.135,0.166,4.08,999.00
322,Pursuer,0.106,0.180,0.714,0.146,0.145,0.00,216.00
323,Draw,0.105,0.180,0.715,0.152,0.157,0.70,999.00
324,Pursuer,0.105,0.182,0.713,0.149,0.142,0.00,320.00
325,Draw,0.105,0.182,0.714,0.155,0.155,10.34,999.00
326,Draw,0.104,0.181,0.715,0.150,0.148,5.68,999.00
327,Draw,0.104,0.180,0.716,0.141,0.142,0.04,999.00
328,Pursuer,0.104,0.183,0.713,0.152,0.190,0.00,76.00
329,Draw,0.103,0.182,0.714,0.145,0.150,0.40,999.00
330,Draw,0.103,0.182,0.715,0.151,0.150,5.34,999.00
331,Draw,0.103,0.181,0.716,0.153,0.152,19.52,999.00
332,Draw,0.102,0.181,0.717,0.151,0.152,19.74,999.00
333,Pursuer,0.102,0.183,0.715,0.155,0.151,0.00,431.00
334,Pursuer,0.102,0.186,0.713,0.153,0.154,0.00,323.00
335,Draw,0.101,0.185,0.713,0.157,0.161,0.00,999.00
336,Pursuer,0.101,0.188,0.711,0.155,0.141,0.00,322.00
337,Pursuer,0.101,0.190,0.709,0.149,0.137,0.00,366.00
338,Draw,0.101,0.189,0.710,0.146,0.159,5.18,999.00
339,Draw,0.100,0.189,0.711,0.138,0.153,4.04,999.00
340,Pursuer,0.100,0.191,0.709,0.162,0.142,0.00,556.00
341,Pursuer,0.100,0.194,0.707,0.138,0.155,0.00,492.00
342,Pursuer,0.099,0.196,0.705,0.149,0.161,0.00,946.00
343,Pursuer,0.099,0.198,0.703,0.148,0.155,0.00,750.00
344,Draw,0.099,0.198,0.703,0.151,0.151,0.00,999.00
345,Runner,0.101,0.197,0.701,0.154,0.139,0.32,855.00
346,Runner,0.104,0.197,0.699,0.125,0.144,0.00,64.00
347,Pursuer,0.104,0.199,0.697,0.147,0.169,0.00,135.00
